"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","ERA-","FIP-"
"1958","BOS","79","75","28","356","155","1380.0","4.53","3.40","0.79",".278","70.7%","","","","3.92","","3.81","","17.0","99","95"
"2020","STL","30","28","13","234","58","473.0","8.83","3.88","1.31",".250","74.0%","44.4%","15.4%","93.3","3.92","","4.58","4.52","3.6","92","106"
"1963","KCA","73","89","29","409","162","1458.0","5.48","3.33","0.96",".273","72.8%","","","","3.92","","3.85","","14.0","103","101"
"1984","KCR","84","78","50","376","162","1444.0","4.51","2.70","0.85",".271","70.8%","","","","3.92","","3.95","","14.1","98","100"
"1987","MON","91","71","50","497","162","1450.1","6.28","2.77","0.90",".284","69.5%","","","","3.92","","3.75","","18.7","95","92"
"1991","KCR","82","80","41","457","162","1466.0","6.16","3.25","0.64",".296","69.7%","","","","3.92","","3.59","","19.5","95","93"
"1986","CIN","86","76","45","475","162","1468.0","5.66","3.21","0.83",".286","71.0%","","","","3.92","","3.82","","15.2","101","99"
"2014","CHC","73","89","37","699","162","1463.1","8.06","3.10","0.71",".304","69.6%","44.0%","8.0%","93.0","3.92","","3.51","3.70","20.5","108","95"
"1920","PHA","48","106","2","260","156","1380.1","2.76","3.01","0.37",".317","63.0%","","","","3.93","","3.75","","14.3","100","99"
"1923","SLB","74","78","10","280","151","1373.1","3.20","3.46","0.39",".283","66.9%","","","","3.93","","4.04","","16.4","94","96"
"2002","ARI","98","64","40","584","162","1446.2","8.11","2.62","1.06",".289","72.7%","43.6%","11.5%","","3.93","","3.67","3.56","26.4","91","85"
"1948","NYG","78","76","21","385","155","1373.0","3.45","3.61","0.80",".275","71.1%","","","","3.93","","4.31","","9.9","99","106"
"1884","PHI","39","73","1","120","113","981.0","3.77","2.33","0.35",".309","40.3%","","","","3.93","","3.71","","5.7","135","113"
"1955","PHI","77","77","21","347","154","1356.2","4.36","3.16","1.07",".255","71.9%","","","","3.93","","4.05","","13.0","99","101"
"1975","ATL","67","94","24","428","161","1430.0","4.21","3.27","0.64",".292","69.6%","","","","3.93","","3.75","","16.0","100","97"
"1875","PCN","2","12","0","14","14","126.0","0.86","0.21","0.00",".331","20.2%","","","","3.93","","2.25","","1.4","161","92"
"1975","CHW","75","86","39","370","161","1452.1","4.95","4.06","0.66",".291","72.7%","","","","3.93","","3.87","","14.1","102","103"
"1982","CHC","73","89","43","516","162","1447.1","4.75","2.81","0.78",".288","70.6%","","","","3.93","","3.78","","13.0","104","102"
"1997","TOR","76","86","34","498","162","1442.2","7.17","3.10","1.04",".299","73.8%","","","","3.93","","4.13","","21.9","86","92"
"1965","WAS","70","92","40","489","162","1435.2","5.44","3.97","1.00",".269","72.7%","","","","3.93","","4.15","","4.1","113","116"
"1980","STL","74","88","27","459","162","1447.0","4.13","3.08","0.56",".282","68.3%","","","","3.93","","3.71","","10.0","107","105"
"1980","MIN","77","84","30","374","161","1451.0","4.61","2.90","0.74",".289","69.5%","","","","3.93","","3.82","","18.0","94","94"
"2010","TEX","90","72","46","643","162","1455.1","7.30","3.41","1.00",".280","73.6%","41.5%","9.3%","92.9","3.93","","4.17","4.19","19.3","89","96"
"1969","BOS","87","75","41","460","162","1466.2","5.74","4.20","0.95",".278","73.2%","","","","3.93","","4.11","","13.4","101","102"
"1990","KCR","75","86","33","473","161","1420.2","6.37","3.55","0.73",".299","71.1%","","","","3.93","","3.73","","13.9","101","99"
"1986","BOS","95","66","41","415","161","1429.2","6.50","2.98","1.05",".296","73.4%","","","","3.93","","3.89","","18.7","91","95"
"1987","STL","95","67","48","524","162","1466.0","5.36","3.27","0.79",".289","72.5%","","","","3.94","","3.97","","14.3","97","100"
"1988","MIN","91","71","52","427","162","1431.2","5.64","2.85","0.92",".290","73.2%","","","","3.94","","3.88","","15.7","95","98"
"1937","CIN","56","98","18","317","155","1358.1","3.85","3.53","0.25",".292","66.1%","","","","3.94","","3.76","","13.9","104","98"
"1974","CHW","80","80","29","364","163","1465.2","5.07","3.37","0.63",".287","70.0%","","","","3.94","","3.59","","14.8","106","100"
"1928","CIN","78","74","11","273","153","1371.2","2.33","2.69","0.38",".289","67.6%","","","","3.94","","3.86","","13.7","104","98"
"1922","CHW","77","77","8","254","155","1403.2","3.10","3.39","0.37",".284","68.5%","","","","3.94","","4.02","","14.5","99","100"
"1976","CHC","75","87","33","491","162","1471.1","5.20","3.00","0.75",".289","70.1%","","","","3.94","","3.62","","16.0","104","98"
"1969","CLE","62","99","22","455","161","1437.0","6.26","4.27","0.84",".274","71.7%","","","","3.94","","3.85","","15.4","105","99"
"1925","NYG","86","66","8","265","153","1354.0","2.96","2.71","0.49",".296","67.7%","","","","3.94","","4.09","","13.9","95","99"
"1936","BSN","71","83","13","291","156","1413.1","2.68","2.87","0.44",".289","68.2%","","","","3.94","","4.31","","6.0","107","111"
"2015","LAA","85","77","46","680","162","1440.2","7.63","2.91","1.04",".285","73.3%","41.5%","10.0%","91.8","3.94","","4.06","4.26","12.2","102","102"
"2012","ARI","81","81","39","623","162","1433.2","7.53","2.62","0.97",".301","72.0%","46.1%","11.0%","91.9","3.94","","3.81","3.84","15.3","96","97"
"2013","NYY","85","77","49","590","162","1447.1","7.67","2.72","1.06",".302","74.6%","44.0%","11.5%","92.7","3.94","","3.89","3.76","14.8","97","95"
"1986","CHW","72","90","38","459","162","1442.1","5.58","3.50","0.89",".272","71.6%","","","","3.94","","4.05","","15.5","91","97"
"1875","BKA","2","42","0","58","44","397.0","1.16","0.48","0.20",".327","20.8%","","","","3.94","","2.57","","1.5","173","113"
"1941","NYG","74","79","18","331","156","1391.2","3.66","3.49","0.58",".282","69.2%","","","","3.94","","3.88","","11.2","108","103"
"1890","BKW","76","56","7","155","133","1184.0","2.87","4.33","0.20",".306","55.4%","","","","3.95","","4.06","","14.2","90","96"
"1982","TOR","78","84","25","382","162","1443.2","4.84","3.07","0.92",".273","71.5%","","","","3.95","","4.04","","17.5","92","96"
"1928","PIT","85","67","11","264","152","1354.0","2.56","2.96","0.44",".275","66.1%","","","","3.95","","4.01","","16.8","96","95"
"1955","CIN","75","79","22","399","154","1363.0","3.80","2.93","1.06",".265","71.6%","","","","3.95","","4.09","","16.3","94","96"
"1941","BSN","62","92","9","332","156","1385.2","2.90","3.60","0.49",".276","68.0%","","","","3.95","","3.99","","7.1","111","110"
"2010","SEA","61","101","38","520","162","1438.0","6.09","2.83","0.98",".279","71.4%","43.4%","9.0%","91.3","3.95","","4.17","4.23","15.7","102","104"
"1951","STL","81","73","23","338","155","1387.2","3.54","3.62","0.77",".271","72.0%","","","","3.95","","4.06","","14.4","98","99"
"1887","DET","79","45","1","132","127","1116.1","2.72","2.77","0.42",".286","57.0%","","","","3.95","","4.20","","10.6","97","101"
"2006","MIN","96","66","40","583","162","1439.1","7.28","2.23","1.14",".302","73.7%","43.7%","11.3%","","3.95","","3.99","3.93","20.6","88","91"
"1960","CLE","76","78","30","373","154","1382.1","5.02","4.14","1.05",".262","73.2%","","","","3.95","","4.36","","5.6","105","113"
"1946","SLB","66","88","12","349","156","1382.1","3.74","3.73","0.48",".288","68.7%","","","","3.95","","3.50","","15.4","108","97"
"2011","FLA","72","90","40","670","162","1459.2","7.51","3.08","0.92",".292","71.5%","44.6%","9.6%","92.3","3.95","","3.79","3.80","15.3","102","100"
"2010","MIN","94","68","40","627","162","1452.2","6.49","2.37","0.96",".299","73.4%","44.7%","9.2%","92.1","3.95","","3.91","3.93","17.3","95","95"
"1997","NYM","88","74","49","538","162","1459.1","6.06","3.11","0.99",".286","72.7%","","","","3.95","","4.32","","11.8","98","104"
"2018","SFG","73","89","36","711","162","1461.1","7.82","3.23","0.96",".293","72.3%","44.5%","11.0%","92.3","3.95","","3.98","4.20","14.1","101","102"
"1996","FLA","80","82","41","579","162","1443.0","6.55","3.73","0.70",".292","71.1%","","","","3.95","","4.10","","17.2","95","96"
"2017","CHC","92","70","38","693","162","1447.1","8.95","3.44","1.21",".285","74.2%","46.2%","14.5%","92.7","3.95","","4.20","4.10","16.8","91","97"
"2021","MIA","67","95","33","757","162","1415.0","8.78","3.36","1.03",".290","71.6%","44.6%","12.0%","93.8","3.96","","4.01","4.21","15.1","99","97"
"1915","BAL","47","107","7","246","154","1360.1","3.77","3.08","0.34",".300","63.6%","","","","3.96","","3.10","","11.7","126","104"
"2001","STL","93","69","38","646","162","1435.1","6.79","3.30","1.23",".281","76.1%","","","","3.96","","4.57","","12.2","92","104"
"1984","CAL","81","81","26","365","162","1458.0","4.65","2.93","0.88",".286","72.8%","","","","3.96","","4.04","","16.5","100","98"
"1956","CHC","60","94","17","377","157","1392.0","4.81","3.96","1.04",".261","72.4%","","","","3.96","","4.20","","9.3","104","107"
"1937","STL","80","73","4","297","156","1392.0","3.69","2.90","0.61",".294","68.0%","","","","3.96","","4.10","","13.5","99","101"
"1947","PHI","62","92","14","316","155","1362.0","3.40","3.31","0.65",".286","69.2%","","","","3.96","","3.84","","15.2","99","97"
"1897","CLE","68","60","0","150","130","1118.2","2.23","2.33","0.26",".305","60.0%","","","","3.96","","3.97","","13.5","92","95"
"1900","NYG","60","78","0","172","141","1207.1","2.06","3.29","0.19",".309","59.1%","","","","3.96","","3.75","","6.6","110","110"
"1933","DET","75","79","17","284","155","1398.0","3.70","3.61","0.54",".275","67.3%","","","","3.96","","4.01","","14.5","92","99"
"1994","CHW","67","46","20","352","113","1011.1","6.71","3.35","1.02",".279","71.8%","","","","3.96","","4.29","","14.8","86","92"
"1883","COL","32","65","0","104","97","840.1","2.38","2.26","0.17",".310","45.5%","","","","3.96","","3.73","","2.6","127","120"
"1930","WAS","94","60","14","265","154","1369.0","3.44","3.31","0.34",".277","66.3%","","","","3.96","","4.39","","17.4","86","94"
"1946","PHI","69","85","23","340","155","1369.0","3.22","3.56","0.48",".283","68.5%","","","","3.96","","3.62","","10.0","118","106"
"1903","PHI","49","86","3","152","139","1212.1","2.83","3.16","0.16",".304","60.5%","","","","3.96","","3.40","","8.2","122","109"
"1993","PHI","97","65","46","512","162","1473.0","6.82","3.50","0.79",".286","69.7%","","","","3.97","","3.85","","18.2","97","95"
"1956","STL","76","78","30","390","156","1388.2","4.60","3.54","1.00",".264","71.5%","","","","3.97","","4.02","","13.2","103","101"
"1927","PHA","91","63","25","315","155","1384.0","3.60","2.87","0.42",".289","65.8%","","","","3.97","","3.87","","18.4","94","92"
"1927","NYG","92","62","16","302","155","1381.2","2.88","2.95","0.50",".288","67.6%","","","","3.97","","4.15","","9.3","103","107"
"1927","WAS","85","69","23","320","157","1402.0","3.19","3.15","0.34",".278","65.4%","","","","3.97","","3.95","","14.0","98","98"
"1994","HOU","66","49","29","383","115","1029.2","6.46","3.21","0.89",".297","72.3%","","","","3.97","","4.15","","9.3","100","101"
"2019","OAK","97","65","45","709","162","1465.0","7.98","2.93","1.23",".278","75.1%","41.5%","12.6%","93.0","3.97","","4.34","4.72","18.7","89","97"
"1929","NYG","84","67","13","283","152","1372.0","2.83","2.54","0.67",".288","68.5%","","","","3.97","","4.38","","14.2","86","98"
"1950","STL","78","75","14","338","153","1356.0","4.00","3.55","0.79",".279","71.9%","","","","3.97","","4.07","","16.9","95","94"
"1932","STL","72","82","9","295","156","1396.0","4.39","2.93","0.49",".304","67.9%","","","","3.97","","3.78","","19.5","99","91"
"1947","WAS","64","90","12","297","154","1362.0","3.64","3.83","0.42",".284","69.4%","","","","3.97","","3.60","","14.3","111","98"
"1985","PIT","57","104","29","458","161","1445.1","5.99","3.64","0.67",".287","70.2%","","","","3.97","","3.59","","15.6","109","97"
"1886","PHA","63","72","0","145","139","1218.2","3.79","2.87","0.26",".303","47.7%","","","","3.97","","3.59","","10.4","112","106"
"1963","BOS","76","85","32","402","161","1449.2","6.26","3.35","0.94",".272","71.4%","","","","3.97","","3.62","","17.4","104","95"
"1949","BOS","96","58","16","275","155","1377.0","3.91","4.32","0.54",".279","71.6%","","","","3.97","","3.91","","23.3","89","87"
"1921","WAS","80","73","10","262","154","1383.2","2.94","2.87","0.33",".300","66.2%","","","","3.97","","3.96","","13.9","97","99"
"1937","CHC","93","61","13","302","154","1381.1","3.88","3.27","0.59",".282","69.7%","","","","3.97","","4.17","","11.0","101","104"
"1931","CHC","84","70","8","300","156","1385.2","3.51","3.40","0.35",".284","67.2%","","","","3.97","","4.05","","12.7","103","101"
"1988","BOS","89","73","37","412","162","1426.1","6.85","3.11","0.90",".294","72.0%","","","","3.98","","3.67","","18.7","97","95"
"2002","MON","83","79","39","599","162","1453.0","6.74","3.15","1.02",".295","72.9%","47.2%","11.5%","","3.98","","4.08","3.97","16.6","94","95"
"2013","SDP","76","86","40","650","162","1455.0","7.24","3.25","0.96",".292","72.5%","45.8%","10.8%","92.3","3.98","","4.00","3.96","8.4","112","108"
"1958","SFG","80","74","25","409","154","1389.1","5.02","3.32","1.08",".274","72.9%","","","","3.98","","4.10","","9.0","103","107"
"1981","MIN","41","68","22","275","110","979.2","4.59","3.45","0.73",".289","71.2%","","","","3.98","","3.83","","8.3","105","103"
"1873","BKA","17","37","0","58","55","500.0","0.27","0.76","0.14",".343","30.0%","","","","3.98","","3.33","","2.4","132","110"
"1996","STL","88","74","43","575","162","1452.1","6.51","3.34","1.07",".275","72.9%","","","","3.98","","4.46","","11.9","95","104"
"1973","MIL","74","88","28","379","162","1454.0","4.15","3.86","0.74",".279","71.2%","","","","3.98","","4.05","","10.4","104","106"
"2005","MIL","81","81","46","557","162","1438.0","7.34","3.56","1.06",".285","73.8%","41.4%","10.5%","","3.98","","4.20","4.22","16.5","93","97"
"1923","WAS","75","78","16","285","155","1374.2","3.10","3.69","0.37",".299","67.6%","","","","3.98","","4.10","","8.3","105","107"
"1964","WAS","62","100","26","453","162","1435.1","4.98","3.17","1.08",".269","71.2%","","","","3.98","","4.17","","7.2","109","111"
"1932","NYY","107","47","15","249","156","1408.0","4.99","3.59","0.59",".284","68.3%","","","","3.98","","4.01","","15.2","95","98"
"1922","PIT","85","69","7","269","157","1387.1","3.18","2.32","0.34",".307","65.6%","","","","3.98","","3.62","","20.4","97","90"
"1936","BRO","67","87","18","325","156","1403.0","4.18","3.39","0.54",".284","66.6%","","","","3.98","","4.30","","12.5","99","102"
"2005","ATL","90","72","38","646","162","1443.2","5.79","3.24","0.90",".294","74.3%","46.7%","10.3%","","3.98","","4.19","4.23","14.4","95","99"
"2015","CHW","76","86","37","576","162","1452.2","8.42","2.94","1.00",".311","72.9%","45.2%","11.4%","93.1","3.98","","3.82","3.81","17.4","100","93"
"1928","CHW","72","82","11","248","155","1378.0","2.73","3.27","0.43",".277","67.8%","","","","3.98","","4.08","","10.0","101","106"
"1921","BOS","75","79","5","236","154","1364.1","2.94","2.98","0.35",".298","68.0%","","","","3.98","","4.04","","13.9","96","100"
"1940","DET","90","64","23","326","155","1375.1","4.92","3.73","0.67",".289","69.3%","","","","3.99","","3.99","","22.1","86","88"
"1949","BSN","75","79","11","316","157","1400.0","3.80","3.34","0.71",".281","69.5%","","","","3.99","","3.85","","13.0","104","101"
"2017","TBR","80","82","53","673","162","1445.0","8.42","3.13","1.20",".283","73.0%","43.0%","12.8%","93.7","3.99","","4.17","4.29","15.0","94","98"
"1986","ATL","72","89","39","470","161","1424.2","5.89","3.64","0.74",".296","70.5%","","","","3.99","","3.80","","16.2","100","97"
"1982","MIL","95","67","47","376","163","1467.1","4.40","3.13","0.93",".281","72.5%","","","","3.99","","4.17","","11.2","104","106"
"1982","BAL","94","68","34","394","163","1462.1","4.43","3.00","0.90",".268","72.3%","","","","3.99","","4.09","","15.0","100","99"
"1999","CIN","96","67","55","544","163","1462.0","6.65","3.92","1.17",".262","74.2%","","","","3.99","","4.74","","13.7","86","101"
"2008","ARI","82","80","39","606","162","1434.2","7.71","2.83","0.92",".297","70.9%","45.3%","9.9%","91.4","3.99","","3.84","3.87","22.9","88","87"
"1975","BOS","95","65","31","327","160","1436.2","4.51","3.07","0.91",".277","71.4%","","","","3.99","","3.96","","14.8","97","100"
"1978","CLE","69","90","28","373","159","1407.1","4.73","3.63","0.64",".280","70.1%","","","","3.99","","3.73","","15.9","105","97"
"2020","CHC","34","26","16","248","60","518.1","9.08","3.16","1.28",".278","75.0%","45.0%","16.0%","92.8","3.99","","4.18","4.04","6.9","88","94"
"1994","SFG","55","60","33","402","115","1025.1","5.75","3.27","1.07",".280","73.7%","","","","3.99","","4.60","","6.1","98","108"
"2021","STL","90","72","50","718","162","1417.0","7.78","3.86","0.97",".272","73.2%","43.7%","10.8%","93.4","4.00","","4.30","4.66","12.1","99","104"
"1890","BAL","15","19","0","40","38","315.1","3.82","3.51","0.09",".287","60.2%","","","","4.00","","3.41","","3.6","99","100"
"2013","CHW","63","99","40","632","162","1455.0","7.73","3.15","1.13",".295","73.1%","43.3%","11.5%","92.4","4.00","","4.13","3.98","15.3","98","101"
"2013","CHC","66","96","39","651","162","1448.0","7.36","3.36","0.99",".279","72.8%","42.4%","10.3%","92.7","4.00","","4.10","4.13","11.3","107","108"
"2016","SEA","86","76","49","638","162","1457.0","8.14","2.84","1.32",".292","74.9%","43.4%","13.8%","93.5","4.00","","4.30","4.17","14.5","100","103"
"1999","BOS","94","68","50","574","162","1436.2","7.09","2.94","1.00",".287","70.9%","","","","4.00","","4.10","","23.5","81","88"
"2017","MIL","86","76","54","712","162","1445.2","8.38","3.44","1.15",".298","74.8%","45.7%","13.5%","93.5","4.00","","4.24","4.26","17.1","91","97"
"1986","SDP","74","88","32","512","162","1443.1","5.82","3.78","0.94",".279","72.0%","","","","4.00","","4.15","","7.6","109","109"
"1982","NYY","79","83","39","413","162","1459.0","5.79","3.03","0.70",".292","69.4%","","","","4.00","","3.49","","24.1","101","87"
"2013","SFG","76","86","41","686","162","1447.1","7.81","3.24","0.90",".295","72.1%","42.1%","9.9%","91.3","4.00","","3.80","3.89","7.1","116","108"
"1973","PHI","71","91","22","419","162","1447.1","5.71","3.93","0.81",".288","72.1%","","","","4.00","","3.85","","13.3","106","102"
"2008","LAA","100","62","66","545","162","1451.1","6.86","2.83","0.99",".296","73.0%","44.3%","9.8%","92.4","4.00","","4.12","4.17","17.5","93","96"
"1945","CIN","61","93","6","286","154","1365.2","2.45","3.52","0.46",".275","68.7%","","","","4.00","","3.89","","7.5","110","110"
"1960","CIN","67","87","35","407","154","1390.1","4.79","2.86","0.87",".282","70.6%","","","","4.00","","3.76","","13.0","104","101"
"2007","TOR","83","79","44","582","162","1448.2","6.63","2.98","0.98",".282","71.8%","48.7%","10.6%","91.9","4.00","","4.28","4.15","17.5","89","96"
"2016","BOS","93","69","43","625","162","1439.2","8.51","3.06","1.10",".293","72.9%","41.5%","11.4%","93.8","4.00","","4.00","4.20","18.8","91","95"
"1991","HOU","65","97","36","527","162","1453.0","6.40","4.03","0.80",".276","70.9%","","","","4.00","","3.99","","5.6","112","112"
"1989","BAL","87","75","44","474","162","1448.1","4.20","3.02","0.83",".284","72.9%","","","","4.00","","4.09","","9.5","105","107"
"1901","PHA","74","62","1","151","137","1200.2","2.62","2.80","0.15",".304","58.2%","","","","4.00","","3.49","","14.3","106","96"
"1889","PHI","63","64","2","157","130","1153.1","3.46","3.34","0.26",".309","58.6%","","","","4.00","","3.80","","14.7","98","92"
"2014","TOR","83","79","45","611","162","1443.0","7.48","3.06","0.94",".294","72.7%","42.9%","9.4%","92.4","4.00","","3.97","3.99","14.2","103","103"
"1948","CHC","64","90","10","375","155","1355.1","4.22","4.04","0.59",".277","69.0%","","","","4.00","","3.96","","13.1","103","100"
"2018","PIT","82","79","40","641","161","1434.0","8.38","3.12","1.09",".296","73.6%","43.4%","12.1%","94.3","4.00","","4.06","4.14","14.9","101","100"
"2002","HOU","84","78","43","642","162","1445.0","7.59","3.40","0.94",".300","73.3%","44.6%","10.5%","","4.00","","3.88","3.91","19.3","94","91"
"1989","BOS","83","79","42","459","162","1460.1","6.50","3.38","0.81",".294","70.1%","","","","4.01","","3.68","","16.2","99","96"
"1884","WSN","12","51","0","64","63","543.2","3.89","1.82","0.35",".324","39.3%","","","","4.01","","3.51","","2.0","129","118"
"1976","MON","55","107","21","471","162","1440.0","4.89","4.12","0.56",".287","69.8%","","","","4.01","","3.81","","8.5","110","108"
"2004","LAD","93","69","51","621","162","1453.1","6.60","3.23","1.10",".279","74.6%","41.4%","10.7%","","4.01","","4.36","4.40","16.2","96","99"
"1926","BSN","66","86","9","285","153","1365.1","2.69","3.00","0.30",".297","66.7%","","","","4.01","","3.83","","9.9","110","105"
"1983","CIN","74","88","29","433","162","1441.1","5.83","3.92","0.84",".276","71.4%","","","","4.01","","4.02","","9.8","106","107"
"1957","NYG","69","85","20","424","154","1398.2","4.51","3.03","0.97",".277","71.7%","","","","4.01","","3.94","","10.7","104","103"
"2014","BOS","71","91","36","655","162","1465.2","7.45","2.96","0.95",".301","71.8%","43.6%","9.9%","92.6","4.01","","3.93","3.87","10.6","100","105"
"1959","WAS","63","91","21","368","154","1360.0","4.59","3.09","0.81",".272","68.7%","","","","4.01","","3.80","","17.3","102","95"
"1977","MON","75","87","33","469","162","1481.0","5.20","3.52","0.82",".272","70.3%","","","","4.01","","3.99","","10.8","104","104"
"2014","DET","90","72","41","635","162","1454.0","7.70","2.86","0.79",".312","70.7%","44.2%","8.3%","92.9","4.01","","3.60","3.76","19.7","104","94"
"1960","PHI","59","95","16","353","154","1375.1","4.82","2.87","0.87",".284","70.3%","","","","4.01","","3.72","","12.3","107","102"
"1959","CHC","74","80","25","405","155","1391.0","4.95","3.36","0.98",".265","71.5%","","","","4.01","","4.03","","10.6","101","104"
"1989","SEA","73","89","44","492","162","1438.0","5.61","3.50","0.71",".286","69.5%","","","","4.01","","3.80","","16.7","101","97"
"1891","PHA","73","65","0","149","142","1233.2","3.89","3.79","0.26",".296","57.3%","","","","4.01","","3.45","","14.3","106","96"
"1898","BRO","54","91","0","166","149","1298.2","2.04","3.30","0.24",".295","60.5%","","","","4.01","","3.75","","9.7","110","107"
"2003","MON","83","79","42","599","162","1437.2","6.44","2.90","1.13",".290","73.5%","44.6%","12.2%","","4.01","","4.35","4.23","15.5","91","98"
"2008","BOS","95","67","47","628","162","1446.1","7.37","3.41","0.91",".289","72.6%","43.5%","9.2%","92.2","4.01","","4.09","4.23","18.4","89","97"
"1952","CIN","69","85","12","327","154","1363.1","3.82","3.41","0.73",".277","71.7%","","","","4.01","","3.82","","12.5","105","101"
"1897","WAS","60","70","6","167","133","1148.0","2.73","3.14","0.21",".319","58.6%","","","","4.01","","4.07","","12.4","92","98"
"2008","OAK","75","86","33","602","161","1435.0","6.65","3.61","0.85",".287","72.2%","41.2%","8.0%","90.7","4.01","","4.19","4.53","14.6","95","99"
"2010","LAD","80","82","41","637","162","1441.2","7.95","3.36","0.84",".287","70.9%","44.6%","8.6%","92.2","4.01","","3.76","3.87","16.8","105","96"
"1954","BOS","69","85","22","380","156","1412.1","4.51","3.90","0.75",".279","70.6%","","","","4.01","","3.86","","16.6","101","96"
"2012","SDP","76","86","43","691","162","1434.2","7.56","3.38","1.02",".284","71.8%","47.5%","11.7%","92.7","4.01","","4.11","4.05","7.8","110","109"
"2017","STL","83","79","43","708","162","1450.1","8.38","3.06","1.14",".298","73.6%","46.3%","13.5%","94.3","4.01","","4.09","4.12","15.7","96","97"
"1977","CHC","81","81","44","481","162","1468.0","5.78","3.00","0.78",".294","69.4%","","","","4.02","","3.63","","24.6","94","87"
"1981","CHC","38","65","20","369","106","956.2","5.00","3.65","0.56",".292","69.4%","","","","4.02","","3.57","","8.1","109","101"
"2012","LAA","89","73","38","606","162","1433.1","7.26","3.03","1.17",".277","72.6%","43.9%","12.1%","92.7","4.02","","4.26","4.15","10.4","104","107"
"2012","TEX","93","69","43","590","162","1442.0","8.03","2.78","1.09",".292","71.5%","43.9%","11.6%","93.5","4.02","","3.90","3.86","22.2","93","92"
"2021","OAK","86","76","39","666","162","1433.0","8.37","2.76","1.20",".290","73.7%","40.3%","11.8%","93.2","4.02","","4.10","4.35","15.1","96","98"
"1991","BOS","84","78","45","490","162","1439.2","6.25","3.31","0.92",".285","71.2%","","","","4.02","","3.96","","15.8","93","98"
"2010","CIN","91","71","43","664","162","1453.0","7.00","3.25","0.98",".288","73.6%","42.9%","9.4%","92.4","4.02","","4.12","4.13","12.8","98","100"
"1986","DET","87","75","38","401","162","1443.2","5.49","3.56","1.14",".265","73.4%","","","","4.02","","4.45","","10.3","99","106"
"2012","CHW","85","77","37","628","162","1445.2","7.76","3.13","1.16",".288","75.2%","42.7%","12.1%","92.6","4.02","","4.23","4.12","16.2","95","98"
"1983","MIL","87","75","43","373","162","1454.0","4.26","3.04","0.82",".283","71.7%","","","","4.02","","4.07","","10.2","103","105"
"1987","DET","98","64","31","409","162","1456.0","6.03","3.48","1.11",".277","72.8%","","","","4.02","","4.37","","18.3","92","96"
"1979","BOS","91","69","29","358","160","1431.1","4.60","2.91","0.84",".285","70.9%","","","","4.02","","3.97","","20.4","89","92"
"2001","CHC","88","74","41","614","162","1437.0","8.42","3.44","1.03",".294","72.7%","","","","4.03","","3.91","","22.2","94","89"
"1930","BRO","86","68","15","292","154","1372.0","3.45","2.58","0.75",".283","66.7%","","","","4.03","","4.73","","15.0","83","98"
"1967","HOU","69","93","21","456","162","1445.2","6.60","3.02","0.75",".294","68.2%","","","","4.03","","3.25","","12.2","123","103"
"2004","SDP","87","75","44","599","162","1441.0","6.74","2.64","1.15",".290","73.2%","42.9%","11.2%","","4.03","","4.19","4.14","15.5","102","99"
"2015","NYY","87","75","48","659","162","1457.2","8.46","2.93","1.12",".300","73.8%","47.0%","13.6%","94.6","4.03","","3.97","3.70","18.4","100","95"
"1991","SFG","75","87","45","496","162","1442.0","5.65","3.40","0.89",".278","72.0%","","","","4.03","","4.10","","6.9","114","110"
"2003","NYY","101","61","49","530","163","1462.0","6.89","2.31","0.89",".302","70.4%","42.7%","9.3%","","4.03","","3.66","3.92","28.6","90","82"
"1920","SLB","76","77","14","256","154","1378.2","2.90","3.77","0.35",".294","65.6%","","","","4.03","","3.95","","10.9","103","105"
"1995","CIN","85","59","38","473","144","1289.1","6.30","2.96","0.91",".288","71.5%","","","","4.03","","4.08","","14.6","97","96"
"1920","DET","61","93","7","277","155","1385.0","3.14","3.65","0.30",".302","62.3%","","","","4.04","","3.82","","10.0","107","106"
"1945","BSN","67","85","13","320","154","1391.2","2.61","3.60","0.64",".274","69.2%","","","","4.04","","4.12","","6.5","106","111"
"1986","MIL","77","84","32","398","161","1431.2","5.98","3.11","0.99",".292","71.2%","","","","4.04","","3.97","","17.1","96","97"
"2015","MIA","71","91","35","648","162","1427.0","7.27","3.20","0.89",".294","72.3%","44.5%","9.5%","93.7","4.04","","3.98","4.23","12.2","106","105"
"2001","NYY","95","65","57","523","161","1451.1","7.85","2.88","0.98",".300","71.5%","","","","4.04","","3.79","","26.1","92","86"
"1979","MIL","95","66","23","365","161","1439.2","3.63","2.38","1.01",".282","71.5%","","","","4.04","","4.22","","12.1","97","104"
"2018","WSN","82","80","40","724","162","1446.0","8.82","3.03","1.23",".287","74.8%","41.2%","12.8%","93.4","4.04","","4.15","4.13","16.4","99","101"
"2006","LAA","89","73","50","542","162","1452.2","7.21","2.92","0.98",".291","70.1%","42.3%","9.2%","","4.04","","4.03","4.28","21.3","89","91"
"2003","FLA","91","71","36","557","162","1445.1","7.05","3.30","0.80",".297","71.6%","42.1%","8.3%","","4.04","","3.80","4.21","21.3","98","90"
"1993","KCR","84","78","48","465","162","1445.1","6.13","3.56","0.65",".287","70.4%","","","","4.04","","3.85","","21.9","92","91"
