"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","ERA-","FIP-"
"1907","PHA","88","57","6","215","150","1354.2","5.24","2.51","0.09",".265","68.0%","","","","2.35","","1.97","","19.0","90","88"
"1904","PHA","81","70","0","175","155","1361.1","5.86","2.42","0.09",".278","68.9%","","","","2.35","","2.05","","21.0","88","85"
"1916","PHI","91","62","9","232","154","1382.2","3.91","1.92","0.18",".263","70.8%","","","","2.36","","2.45","","19.0","88","91"
"1874","BSN","52","18","3","77","71","633.0","0.37","0.38","0.01",".306","48.5%","","","","2.36","","2.87","","6.7","78","95"
"1916","CHW","89","65","15","295","155","1412.1","4.10","2.58","0.09",".267","70.1%","","","","2.36","","2.45","","19.7","84","88"
"1914","BOS","91","62","8","251","159","1427.1","3.80","2.48","0.11",".258","69.8%","","","","2.36","","2.58","","15.8","88","95"
"1883","PRO","58","39","1","108","98","871.0","3.89","1.15","0.12",".281","54.5%","","","","2.37","","2.95","","8.6","78","98"
"1878","CHI","30","30","0","61","61","551.0","2.86","0.57","0.07",".294","46.3%","","","","2.37","","2.19","","7.2","100","92"
"1908","CIN","73","81","8","205","155","1384.0","2.82","2.70","0.12",".257","69.0%","","","","2.37","","2.55","","11.9","100","105"
"1878","PRO","33","27","0","66","62","556.0","2.80","1.39","0.08",".302","52.0%","","","","2.38","","2.49","","3.7","107","112"
"1914","STL","81","72","12","253","157","1424.2","3.35","2.67","0.16",".264","70.6%","","","","2.38","","2.82","","14.1","86","99"
"1884","COR","69","34","1","111","103","914.1","4.95","0.89","0.17",".282","50.7%","","","","2.38","","2.71","","10.5","75","98"
"1907","BRO","65","83","1","182","153","1356.1","3.18","3.07","0.11",".264","70.3%","","","","2.38","","2.65","","9.0","101","109"
"1888","PHI","68","61","3","137","131","1167.0","4.00","1.51","0.20",".274","62.0%","","","","2.38","","2.56","","16.9","83","84"
"1885","PHI","56","54","0","114","111","976.0","3.49","2.01","0.17",".262","53.9%","","","","2.39","","3.02","","8.9","87","102"
"1915","BOS","101","50","15","254","155","1397.0","4.08","2.87","0.12",".257","70.9%","","","","2.39","","2.63","","16.4","83","94"
"1905","NYG","105","48","15","197","155","1370.0","4.99","2.39","0.16",".268","69.1%","","","","2.39","","2.45","","21.1","79","85"
"1875","NYM","30","38","0","72","71","637.2","0.23","0.34","0.04",".286","42.8%","","","","2.40","","2.49","","4.9","101","105"
"1881","PRO","47","37","0","94","85","757.2","3.14","1.64","0.06",".286","52.8%","","","","2.40","","2.62","","7.0","89","98"
"1909","CLE","71","82","3","206","155","1361.0","3.76","2.30","0.06",".269","67.4%","","","","2.40","","2.23","","14.5","98","98"
"1908","DET","90","63","5","192","154","1374.1","3.62","2.08","0.08",".281","68.0%","","","","2.40","","2.10","","16.1","97","96"
"1875","CHI","30","37","0","73","69","625.0","0.40","0.40","0.00",".273","38.8%","","","","2.40","","2.41","","7.9","93","94"
"1907","CIN","66","87","2","195","156","1351.1","3.20","2.96","0.11",".266","71.0%","","","","2.41","","2.61","","12.7","96","103"
"1892","CLE","93","55","2","164","152","1336.0","3.18","2.78","0.19",".259","63.2%","","","","2.41","","3.02","","18.3","71","90"
"1888","PHA","81","52","0","139","136","1208.2","4.44","2.41","0.10",".257","55.6%","","","","2.41","","2.63","","14.1","79","93"
"1913","NYG","101","51","17","250","156","1422.0","4.12","1.99","0.24",".269","70.4%","","","","2.42","","2.65","","19.7","78","88"
"1915","CHW","93","61","9","246","155","1401.0","4.08","2.25","0.09",".270","69.5%","","","","2.43","","2.38","","21.7","84","84"
"1881","CHI","56","28","0","87","84","744.2","2.76","1.47","0.17",".274","56.4%","","","","2.43","","2.81","","8.0","85","98"
"1907","PHI","83","64","4","195","149","1299.1","3.46","2.92","0.09",".255","70.2%","","","","2.43","","2.51","","12.4","99","100"
"1880","CIN","21","59","0","87","83","713.1","2.62","1.11","0.13",".301","46.7%","","","","2.44","","2.50","","6.1","101","104"
"1909","PHI","74","79","6","238","154","1391.0","3.96","3.05","0.15",".261","70.8%","","","","2.44","","2.57","","14.2","93","99"
"1914","CWH","87","67","8","244","157","1420.1","4.12","2.49","0.27",".257","70.9%","","","","2.44","","2.74","","11.5","81","103"
"1885","STL","79","33","0","113","112","1002.0","3.40","1.51","0.11",".262","58.6%","","","","2.44","","2.78","","13.1","73","93"
"1907","NYG","82","71","13","218","155","1371.0","4.30","2.42","0.16",".271","70.1%","","","","2.45","","2.27","","18.7","98","88"
"1907","BOS","59","90","7","225","155","1414.0","3.29","2.14","0.14",".257","66.5%","","","","2.45","","2.36","","13.5","95","101"
"1967","CHW","89","73","39","454","162","1490.1","5.60","2.81","0.53",".245","76.9%","","","","2.45","","3.11","","16.5","78","95"
"1886","PHI","71","43","2","128","119","1045.2","4.65","2.27","0.25",".271","60.1%","","","","2.45","","3.19","","10.3","76","99"
"1910","BOS","81","72","6","228","158","1430.0","4.22","2.61","0.19",".264","68.4%","","","","2.45","","2.53","","13.8","97","101"
"1917","PHI","87","65","5","219","154","1389.1","3.99","2.11","0.16",".268","70.6%","","","","2.46","","2.39","","20.5","87","89"
"1879","CHI","46","33","0","84","83","744.0","2.55","0.69","0.06",".286","50.2%","","","","2.46","","2.49","","9.2","96","97"
"1884","NYM","75","32","0","114","113","985.0","5.74","1.05","0.19",".266","56.9%","","","","2.46","","2.62","","13.8","77","86"
"1910","WAS","66","85","3","200","157","1373.1","4.42","2.46","0.12",".272","67.5%","","","","2.46","","2.34","","14.0","102","99"
"1908","BRO","53","101","4","197","154","1369.0","3.52","2.92","0.11",".257","70.2%","","","","2.47","","2.45","","8.6","110","109"
"1884","BSN","73","38","2","123","116","1037.0","6.44","1.17","0.26",".292","58.4%","","","","2.47","","2.61","","17.1","85","75"
"1916","BOS","91","63","16","259","156","1410.2","3.73","2.95","0.06",".267","72.7%","","","","2.48","","2.64","","14.1","91","98"
"1914","CHW","70","84","11","281","157","1398.2","4.25","2.58","0.10",".266","66.2%","","","","2.48","","2.49","","16.8","92","91"
"1918","PIT","65","60","7","178","126","1140.1","2.90","2.36","0.10",".255","70.2%","","","","2.48","","2.60","","13.9","88","95"
"1968","STL","97","65","32","358","162","1479.1","5.91","2.28","0.50",".264","77.3%","","","","2.49","","2.61","","19.8","84","93"
"1906","NYG","96","55","18","207","152","1334.1","4.31","2.66","0.09",".277","69.5%","","","","2.49","","2.42","","17.7","94","90"
"1886","STL","93","46","2","144","139","1229.1","4.27","2.41","0.10",".271","59.7%","","","","2.49","","3.09","","17.3","70","90"
"1891","MIL","21","15","0","37","36","309.2","3.98","3.49","0.17",".279","63.3%","","","","2.50","","3.21","","5.7","61","82"
"1876","BSN","39","31","7","91","70","632.0","1.10","1.48","0.10",".298","46.7%","","","","2.51","","2.63","","3.4","109","115"
"1910","CHC","104","50","13","228","154","1378.2","3.98","3.09","0.12",".260","71.5%","","","","2.51","","2.64","","16.2","84","94"
"1909","CIN","77","76","8","240","157","1407.0","3.05","3.26","0.03",".260","66.8%","","","","2.52","","2.67","","9.9","100","107"
"1917","CLE","88","66","22","285","156","1412.2","2.87","2.79","0.11",".266","69.8%","","","","2.52","","2.78","","16.7","90","95"
"1972","BAL","80","74","21","321","154","1371.2","5.17","2.59","0.56",".245","77.9%","","","","2.54","","2.95","","17.0","85","94"
"1914","WAS","81","72","20","277","157","1420.2","4.97","3.29","0.13",".263","71.3%","","","","2.54","","2.61","","15.5","93","96"
"1886","CHI","90","34","3","136","126","1097.2","5.30","2.15","0.40",".277","58.8%","","","","2.54","","3.22","","15.9","72","91"
"1913","CLE","86","66","5","245","155","1386.2","4.47","3.26","0.12",".281","71.6%","","","","2.54","","2.83","","16.9","84","94"
"1942","STL","106","48","15","305","156","1410.1","4.15","3.02","0.31",".248","74.5%","","","","2.55","","2.99","","22.9","75","85"
"1872","NYM","34","20","0","58","56","512.0","0.77","0.56","0.04",".306","44.5%","","","","2.55","","3.57","","3.8","71","99"
"1874","PHN","33","22","0","55","55","487.0","0.18","0.54","0.09",".272","37.1%","","","","2.55","","3.08","","6.0","80","96"
"1883","BSN","63","35","3","107","98","860.0","5.63","0.94","0.12",".309","52.5%","","","","2.55","","2.49","","12.9","84","81"
"1908","PHA","68","85","4","231","157","1400.1","4.76","2.64","0.06",".270","66.6%","","","","2.56","","2.01","","17.0","105","93"
"1917","DET","78","75","15","266","154","1396.1","3.33","3.25","0.08",".264","68.0%","","","","2.56","","2.84","","12.7","95","101"
"1943","STL","105","49","15","261","157","1427.0","4.03","3.01","0.21",".260","74.8%","","","","2.57","","2.86","","23.6","75","86"
"1903","BOS","91","47","4","159","141","1255.0","4.15","1.93","0.16",".275","66.5%","","","","2.57","","2.70","","14.5","87","95"
"1904","NYH","92","59","1","188","155","1380.2","4.46","2.03","0.19",".264","67.5%","","","","2.57","","2.38","","19.1","92","91"
"1915","BSN","83","69","13","235","158","1405.2","4.03","2.34","0.15",".270","68.7%","","","","2.57","","2.51","","16.7","95","94"
"1890","LOU","87","43","7","154","134","1206.0","4.38","2.19","0.13",".281","61.0%","","","","2.57","","2.92","","16.9","69","88"
"1972","OAK","93","62","43","391","155","1417.2","5.47","2.65","0.61",".248","78.1%","","","","2.58","","2.99","","14.2","88","98"
"1906","PHI","71","82","5","206","154","1354.1","3.32","2.90","0.12",".263","67.6%","","","","2.58","","2.77","","9.1","100","108"
